Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2021-05-19 09:30:00,2955.72000000,2973.27000000,2945.27000000,2945.94000000,14053.00154000,1621417499999,41592206.75839060,20493,6771.43203000,20044035.85558620,0
2021-05-19 09:45:00,2946.13000000,2979.25000000,2933.00000000,2973.82000000,17338.57649000,1621418399999,51210547.93946750,22237,8163.26296000,24111911.13268980,0
2021-05-19 10:00:00,2973.82000000,2984.49000000,2911.80000000,2917.03000000,21660.63076000,1621419299999,63673382.49115510,32809,10017.97884000,29446213.91224640,0
2021-05-19 10:15:00,2917.04000000,2936.05000000,2901.21000000,2911.31000000,20353.97127000,1621420199999,59443177.07159020,26160,10021.21543000,29267072.08761620,0
2021-05-19 10:30:00,2911.32000000,2915.83000000,2842.58000000,2858.86000000,39045.95461000,1621421099999,112185558.15735730,53635,16886.03571000,48524880.07554970,0
2021-05-19 10:45:00,2858.15000000,2884.67000000,2818.88000000,2856.56000000,37669.74384000,1621421999999,107110975.33058110,50282,18303.19985000,52056197.90769540,0
2021-05-19 11:00:00,2856.66000000,2866.68000000,2786.04000000,2797.00000000,50353.39744000,1621422899999,141834496.44846210,62454,20792.31525000,58646227.13828340,0
2021-05-19 11:15:00,2797.00000000,2806.68000000,2640.00000000,2652.92000000,99408.30779000,1621423799999,270151740.31648610,123582,41923.98004000,113959284.72332450,0
2021-05-19 11:30:00,2654.79000000,2721.32000000,2442.82000000,2689.18000000,127092.38492000,1621424699999,332790360.23056090,151596,53061.05357000,139555783.65641950,0
2021-05-19 11:45:00,2689.18000000,2741.52000000,2615.24000000,2721.08000000,78585.78771000,1621425599999,210617805.24172100,94855,37784.82770000,101328105.19085760,0
2021-05-19 12:00:00,2721.08000000,2773.52000000,2699.40000000,2726.16000000,57321.39128000,1621426499999,156853982.16275420,71227,26742.85199000,73220881.74686710,0
2021-05-19 12:15:00,2726.90000000,2727.79000000,2610.02000000,2647.14000000,71468.88151000,1621427399999,190833650.41024830,76800,35550.71761000,94941819.24422520,0
2021-05-19 12:30:00,2647.14000000,2647.15000000,2425.00000000,2425.98000000,101483.20264000,1621428299999,259185162.89389420,113937,45498.17250000,116424724.84739490,0
2021-05-19 12:45:00,2425.98000000,2580.99000000,1960.00000000,2365.18000000,207188.89138000,1621429199999,462779949.22791240,213745,83560.24893000,188152638.97423800,0
2021-05-19 13:00:00,2365.18000000,2400.00000000,1888.00000000,2127.61000000,145869.01050000,1621430099999,307385649.10026920,152375,57204.05093000,121202982.67149530,0
2021-05-19 13:15:00,2127.61000000,2478.00000000,2099.98000000,2349.57000000,131406.80355000,1621430999999,306624228.28995810,144562,64534.43507000,150986077.94676700,0
2021-05-19 13:30:00,2349.57000000,2599.00000000,2328.00000000,2560.93000000,117230.00943000,1621431899999,292933966.97055260,125430,66466.16293000,166247750.16885440,0
2021-05-19 13:45:00,2560.92000000,2585.12000000,2350.00000000,2493.69000000,98722.05934000,1621432799999,243551163.71903030,112918,50791.81687000,125553468.85003630,0
2021-05-19 14:00:00,2493.68000000,2500.00000000,2285.00000000,2422.32000000,84541.74181000,1621433699999,202457602.73225360,105883,42555.36635000,102111219.91904710,0
2021-05-19 14:15:00,2422.40000000,2543.20000000,2391.00000000,2478.98000000,68782.10334000,1621434599999,169541987.80847820,88505,38415.79153000,94646290.18085780,0
2021-05-19 14:30:00,2478.38000000,2520.47000000,2360.31000000,2383.57000000,73140.35733000,1621435499999,178417444.55575790,86566,31543.32789000,76924634.11944340,0
2021-05-19 14:45:00,2383.58000000,2617.00000000,2382.08000000,2612.74000000,76256.01299000,1621436399999,190528493.19868530,90256,43491.89614000,108745437.59307550,0
2021-05-19 15:00:00,2612.22000000,2666.00000000,2519.59000000,2660.00000000,84777.23211000,1621437299999,219959458.30722370,100186,48432.52122000,125822079.49681210,0
2021-05-19 15:15:00,2659.47000000,2734.00000000,2581.30000000,2633.82000000,84016.14174000,1621438199999,224240784.15897970,102256,46457.89214000,123974513.82452510,0
2021-05-19 15:30:00,2632.99000000,2746.93000000,2600.00000000,2731.30000000,66196.92816000,1621439099999,177254863.24267650,85348,38450.83623000,103017889.81122690,0
2021-05-19 15:45:00,2731.50000000,2780.00000000,2706.02000000,2742.61000000,63496.61693000,1621439999999,173696874.91163420,82659,35338.82607000,96706771.02774770,0
2021-05-19 16:00:00,2741.44000000,2779.00000000,2601.00000000,2636.71000000,69129.65955000,1621440899999,186333593.54946570,97986,36687.34803000,98996640.55261770,0
2021-05-19 16:15:00,2636.72000000,2714.28000000,2635.50000000,2687.02000000,41702.19751000,1621441799999,111597283.67561670,59218,23611.23355000,63217551.89026190,0
2021-05-19 16:30:00,2687.58000000,2856.61000000,2685.34000000,2831.01000000,68970.46157000,1621442699999,191937913.81706730,87916,39782.55743000,110706930.05552830,0
2021-05-19 16:45:00,2831.73000000,2895.00000000,2780.00000000,2852.60000000,65872.95765000,1621443599999,187422729.94697600,87791,35348.45500000,100670083.27558590,0
2021-05-19 17:00:00,2851.93000000,2902.00000000,2827.91000000,2871.80000000,53579.21846000,1621444499999,153580262.62672830,70736,31441.46291000,90178495.36206070,0
2021-05-19 17:15:00,2871.80000000,2920.44000000,2850.80000000,2882.94000000,40550.04421000,1621445399999,117087124.96850450,64639,22165.45026000,64027760.22812800,0
2021-05-19 17:30:00,2883.25000000,2884.56000000,2726.94000000,2756.95000000,48683.22908000,1621446299999,136826829.22853150,64267,22923.77686000,64486386.36606010,0
2021-05-19 17:45:00,2756.95000000,2812.24000000,2735.00000000,2768.89000000,34070.14249000,1621447199999,94545114.26523220,48655,17372.48712000,48203938.45508950,0
2021-05-19 18:00:00,2767.69000000,2789.96000000,2637.98000000,2653.04000000,47066.00593000,1621448099999,126804311.07541660,69495,22580.24664000,60858106.29617420,0
2021-05-19 18:15:00,2653.20000000,2688.90000000,2578.81000000,2674.32000000,44765.24574000,1621448999999,118046015.00402170,63455,21695.80457000,57278382.85622140,0
2021-05-19 18:30:00,2672.68000000,2690.00000000,2555.00000000,2568.19000000,33547.50245000,1621449899999,88287370.34310660,49597,15825.01158000,41695634.88183140,0
2021-05-19 18:45:00,2568.18000000,2629.50000000,2562.32000000,2604.36000000,30095.32003000,1621450799999,78350200.62198950,47520,15881.59877000,41343636.35227650,0
2021-05-19 19:00:00,2604.65000000,2654.94000000,2575.04000000,2644.90000000,32319.32936000,1621451699999,84466531.92178170,49081,16865.37297000,44101647.12020440,0
2021-05-19 19:15:00,2644.90000000,2680.00000000,2580.01000000,2616.87000000,28193.95632000,1621452599999,73835140.40552900,49217,13800.66805000,36172085.01661960,0
2021-05-19 19:30:00,2616.86000000,2632.18000000,2556.18000000,2619.38000000,26181.36997000,1621453499999,67917604.96596430,47611,12570.64147000,32622100.77647410,0
2021-05-19 19:45:00,2620.57000000,2630.75000000,2557.38000000,2601.13000000,30794.75408000,1621454399999,79953918.92526440,49095,14164.75802000,36801944.20222400,0
2021-05-19 20:00:00,2601.13000000,2717.42000000,2594.94000000,2657.91000000,39941.19134000,1621455299999,106310888.95541830,61235,21266.42336000,56614203.25910940,0
2021-05-19 20:15:00,2657.92000000,2675.00000000,2613.08000000,2632.70000000,20101.17398000,1621456199999,53253044.43812270,35385,9550.53972000,25311768.87753790,0
2021-05-19 20:30:00,2632.86000000,2653.10000000,2565.30000000,2580.17000000,21339.67821000,1621457099999,55641095.96835900,39651,10070.99604000,26271505.97799770,0
